idequipement,nom,idstation,nomstation,coordonnees,etat,lastupdate,idligne,type,typecourt
ANF_DAT52002,Distributeur 2,15004,Anatole France,"{'lon': -1.68759952143562, 'lat': 48.1181370954485}",['En fonctionnement'],2024-01-28T22:59:56+00:00,1001,Distributeur de titres,DAT
ASC_ATA_1,Quai vers Viasilva <-> Extérieur,15051,Atalante,"{'lon': -1.62802297006244, 'lat': 48.127146027774}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_BUN_1,Quai vers Viasilva <-> Salle des billets (extérieur),15052,Beaulieu - Université,"{'lon': -1.63911623985879, 'lat': 48.1221291972709}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_BUN_2,Quai vers Gaîté <-> Salle des billets (extérieur),15052,Beaulieu - Université,"{'lon': -1.63911623985879, 'lat': 48.1221291972709}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_CLE_3,Salle des billets <-> Extérieur,15062,Cleunay,"{'lon': -1.70640767697345, 'lat': 48.1010024445846}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_COL_3,Salle des billets <-> Extérieur,15060,Colombier,"{'lon': -1.68215432052243, 'lat': 48.1058903932463}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_CVI_1,Quai vers Viasilva <-> Extérieur,15050,Cesson - Viasilva,"{'lon': -1.62006133587874, 'lat': 48.131492949592}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_GAR_3,Salle des billets <-> Extérieur,15008,Gares,"{'lon': -1.67224485716552, 'lat': 48.1038471114359}",['En fonctionnement'],2024-01-28T23:41:40+00:00,1001,Ascenseur,ASC
ASC_GARB_1,Quai vers Viasilva <-> Salle des billets,15008,Gares,"{'lon': -1.67224485716552, 'lat': 48.1038471114359}",['Indisponible'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_GCH_1,Quai vers Viasilva <-> Salle des billets,15055,Gros-Chêne,"{'lon': -1.66446795130927, 'lat': 48.125093146655}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_GCH_2,Quai vers Gaîté <-> Salle des billets,15055,Gros-Chêne,"{'lon': -1.66446795130927, 'lat': 48.125093146655}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_GCH_3,Salle des billets <-> Extérieur,15055,Gros-Chêne,"{'lon': -1.66446795130927, 'lat': 48.125093146655}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_GCL_3,Salle des billets <-> Extérieur,15010,Clemenceau,"{'lon': -1.67441842137121, 'lat': 48.093479686551}",['En fonctionnement'],2024-01-28T23:39:50+00:00,1001,Ascenseur,ASC
ASC_IJC_1,Quai vers Viasilva <-> Extérieur,15053,Joliot-Curie - Chateaubriand,"{'lon': -1.65150172798943, 'lat': 48.1241132803473}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_IJC_2,Quai vers Gaîté <-> Extérieur,15053,Joliot-Curie - Chateaubriand,"{'lon': -1.65150172798943, 'lat': 48.1241132803473}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_JCA_1,Quai vers Kennedy <-> Salle des billets,15009,Jacques Cartier,"{'lon': -1.67545156363566, 'lat': 48.0975427301243}",['En fonctionnement'],2024-01-28T23:38:40+00:00,1001,Ascenseur,ASC
ASC_JCA_3,Quai vers La Poterie <-> Salle des billets,15009,Jacques Cartier,"{'lon': -1.67545156363566, 'lat': 48.0975427301243}",['En fonctionnement'],2024-01-28T23:38:40+00:00,1001,Ascenseur,ASC
ASC_JFE_1,Quai vers Viasilva <-> Salle des billets,15056,Jules Ferry,"{'lon': -1.67076644276131, 'lat': 48.1186594810628}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_JFE_2,Quai vers Gaîté <-> Salle des billets,15056,Jules Ferry,"{'lon': -1.67076644276131, 'lat': 48.1186594810628}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
ASC_JFE_3,Salle des billets <-> Extérieur,15056,Jules Ferry,"{'lon': -1.67076644276131, 'lat': 48.1186594810628}",['En fonctionnement'],2024-01-29T00:09:59+00:00,1002,Ascenseur,ASC
