grp_identifiant,grp_nom,grp_statut,grp_disponible,grp_exploitation,grp_complet,grp_horodatage,idobj,location,disponibilite
002,Decré-Bouffay,5,152,508,10,2024-01-27T19:11:41+00:00,284,"{'lon': -1.5540046290000191, 'lat': 47.21666261299998}",152
003,Tour Bretagne,5,375,643,10,2024-01-27T19:11:41+00:00,299,"{'lon': -1.5582500169999776, 'lat': 47.21784288800001}",375
007,Commerce,5,200,410,7,2024-01-27T19:11:41+00:00,677,"{'lon': -1.557713217000014, 'lat': 47.21312028}",200
008,Talensac,5,213,320,9,2024-01-27T19:11:41+00:00,1046,"{'lon': -1.5583572969999864, 'lat': 47.220255974}",213
029,Bellamy,5,74,76,5,2024-01-27T19:11:41+00:00,3650,"{'lon': -1.5576936900000078, 'lat': 47.222360408999975}",74
030,Château,5,29,82,10,2024-01-27T19:11:41+00:00,3554,"{'lon': -1.547850445999984, 'lat': 47.216989954999974}",29
035,Baco-LU 1,5,33,92,3,2024-01-27T19:11:41+00:00,4142,"{'lon': -1.5489888249999808, 'lat': 47.214332415}",33
004,Graslin,5,198,484,6,2024-01-27T19:11:41+00:00,288,"{'lon': -1.562571814000023, 'lat': 47.214310205000004}",198
005,Aristide Briand,5,190,391,9,2024-01-27T19:11:41+00:00,1043,"{'lon': -1.5629364160000137, 'lat': 47.21709359800002}",190
009,Cité des Congrès,5,393,435,10,2024-01-27T19:11:41+00:00,1044,"{'lon': -1.5439712740000004, 'lat': 47.212901665000004}",393
012,Descartes,5,147,251,2,2024-01-27T19:11:41+00:00,5552,"{'lon': -1.5643645260000199, 'lat': 47.21718884799998}",147
015,Hôtel Dieu,5,31,100,5,2024-01-27T19:11:41+00:00,3550,"{'lon': -1.5519831099999806, 'lat': 47.21105707999999}",31
017,CHU 1,5,95,135,8,2024-01-27T19:11:41+00:00,3651,"{'lon': -1.5572502320000012, 'lat': 47.20936196600002}",95
021,Gare Nord,5,460,553,2,2024-01-27T19:11:41+00:00,280,"{'lon': -1.5449843310000233, 'lat': 47.21668903400001}",460
036,Baco-LU 2,5,41,118,10,2024-01-27T19:11:41+00:00,3551,"{'lon': -1.5516042549999725, 'lat': 47.21315097399997}",41
039,Chantiers Navals,2,36,44,4,2024-01-27T19:11:41+00:00,4072,"{'lon': -1.5689156060000187, 'lat': 47.20828931400001}",36
042,CHU 2,5,13,61,0,2024-01-27T19:11:41+00:00,5022,"{'lon': -1.55291388400002, 'lat': 47.20889024799999}",13
047,Les Nefs,5,296,300,2,2024-01-27T19:11:41+00:00,5840,"{'lon': -1.5632873819999986, 'lat': 47.20409254200001}",296
001,Feydeau,5,39,490,10,2024-01-27T19:11:41+00:00,4320,"{'lon': -1.552558781000016, 'lat': 47.21407529499999}",39
006,Médiathèque,5,213,398,10,2024-01-27T19:11:41+00:00,134,"{'lon': -1.56233817399999, 'lat': 47.210870821000015}",213
010,Cathédrale,5,74,371,0,2024-01-27T19:11:41+00:00,3652,"{'lon': -1.5510561649999772, 'lat': 47.22081334400002}",74
011,Les machines,0,0,0,0,2024-01-27T19:11:41+00:00,3951,"{'lon': -1.5627277899999967, 'lat': 47.20590061600001}",-1
014,Gloriette 1,5,14,143,25,2024-01-27T19:11:41+00:00,3549,"{'lon': -1.5584387270000093, 'lat': 47.21117964899997}",14
016,Gare Sud 2 : Limité 1h,5,35,60,2,2024-01-27T19:11:41+00:00,3590,"{'lon': -1.5405805820000182, 'lat': 47.21370471099999}",35
025,Gare Sud 1,5,212,380,2,2024-01-27T19:11:41+00:00,1045,,212
026,Gare Canal,0,0,0,0,2024-01-27T19:10:35+00:00,3589,,-1
027,Gare Sud 3,5,200,210,2,2024-01-27T19:11:41+00:00,3555,"{'lon': -1.539256308000006, 'lat': 47.21491533400001}",200
034,Gare Sud 4,5,307,330,2,2024-01-27T19:11:41+00:00,3989,"{'lon': -1.5379338930000017, 'lat': 47.21510336}",307
037,Gloriette 2,2,9,84,7,2024-01-27T19:11:41+00:00,4073,"{'lon': -1.560284366000019, 'lat': 47.21027368099999}",9
040,Fonderies,5,82,130,10,2024-01-27T19:11:41+00:00,4319,"{'lon': -1.5443329510000012, 'lat': 47.20497045899998}",82
044,Gare Sud 2,5,446,457,2,2024-01-27T19:11:41+00:00,5533,"{'lon': -1.5363160630000152, 'lat': 47.216981170999986}",446
