,code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,journees_portes_ouvertes,langues_enseignees,url_et_id_onisep,position,id,niveau,nivo
0,0912273B,78515061600056,centre de formation d'apprentis,"CFA de la pharmacie, santé, sanitaire et social - site de Juvisy",ACPPAV,privé,Ministère des Solidarités et de la Santé,,,"CFA de la pharmacie, santé, sanitaire et social - site de Poissy à Poissy (78)",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9058,,25 rue Hoche,91260,Juvisy-sur-Orge,91326,,01 69 21 92 16,,Essonne,Versailles,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8776,"{'lon': 2.38044, 'lat': 48.6865}",0912273B7851506160005691326486865238044,['enseignement secondaire'],"<span class=""tag-idf"">enseignement secondaire</span>"
1,0921379Z,77566214100024,centre de formation d'apprentis,BTP CFA Rueil-Malmaison,CFA BTP,privé,Ministère chargé des Entreprises et du commerce,,,,,,35 rue du Marquis de Coriolis,92500,Rueil-Malmaison,92063,,01 47 32 02 81,,Hauts-de-Seine,Versailles,,Anglais,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6592,"{'lon': 2.18411, 'lat': 48.8573}",0921379Z7756621410002492063488573218411,"['enseignement secondaire', 'enseignement supérieur']","<span class=""tag-idf"">enseignement secondaire</span> <span class=""tag-idf"">enseignement supérieur</span>"
2,0751452W,78449047600032,centre de formation d'apprentis,CFA de la bonne graine - école d'ameublement de Paris,CAIA,privé,,,,,,,200 bis boulevard Voltaire,75011,Paris,75111,,01 43 72 22 88,11,Paris,Paris,,Anglais,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7124,"{'lon': 2.38653, 'lat': 48.8538}",0751452W7844904760003275111488538238653,['enseignement secondaire'],"<span class=""tag-idf"">enseignement secondaire</span>"
3,0952256L,30540504502039,centre de formation d'apprentis,CFA en transport et logistique - AFTRAL Saint-Ouen-l'Aumône,AFTRAL - CFATL,privé,,,,,,,Rue de la Patelle,95310,Saint-Ouen-l'Aumône,95572,,01 42 12 50 50,,Val-d'Oise,Versailles,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22991,"{'lon': 2.1192002237288, 'lat': 49.046343313559}",0952256L3054050450203995572490463433136211920022373,"['enseignement secondaire', 'enseignement supérieur']","<span class=""tag-idf"">enseignement secondaire</span> <span class=""tag-idf"">enseignement supérieur</span>"
4,0782092A,38909535700023,centre de formation d'apprentis,AFIPE vente et commerce,,privé,Ministère chargé des Entreprises et du commerce,,,Lycée Jean-Paul II à Sartrouville (78),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18639,,7 bis enclos de l'Abbaye,78300,Poissy,78498,,01 39 79 63 50,,Yvelines,Versailles,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14772,"{'lon': 2.0353, 'lat': 48.9271}",0782092A389095357000237849848927120353,"['enseignement secondaire', 'enseignement supérieur']","<span class=""tag-idf"">enseignement secondaire</span> <span class=""tag-idf"">enseignement supérieur</span>"
5,0752206R,30975404200039,centre de formation d'apprentis,CFA Stephenson Formation,,privé,Ministère chargé des Entreprises et du commerce,,,,,,48 rue Stephenson,75018,Paris,75118,,01 44 92 88 88,18,Paris,Paris,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4849,"{'lon': 2.35628, 'lat': 48.888}",0752206R309754042000397511848888235628,"['enseignement secondaire', 'enseignement supérieur']","<span class=""tag-idf"">enseignement secondaire</span> <span class=""tag-idf"">enseignement supérieur</span>"
6,0781779K,19780004800047,centre de formation d'apprentis,CFA des métiers de l'horticulture et du cheval - site de Maisons-Laffitte,,public,Ministère de l'Agriculture et de la Souveraineté alimentaire,,,CFA des métiers de l'horticulture et du cheval à Saint-Germain-en-Laye (78),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9057,,10 avenue Desaix,78600,Maisons-Laffitte,78358,,01 39 62 17 50,,Yvelines,Versailles,,Anglais,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4605,"{'lon': 2.15003, 'lat': 48.9616}",0781779K1978000480004778358489616215003,['enseignement secondaire'],"<span class=""tag-idf"">enseignement secondaire</span>"
7,0782110V,39840928400021,centre de formation d'apprentis,CFA Omnisports Ile-de-France,,privé,Ministère chargé des sports,,,CFA Omnisports (site Paris) à Paris (75),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2766,,4 bis avenue Kennedy,78100,Saint-Germain-en-Laye,78551,,01 39 10 97 97,,Yvelines,Versailles,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6923,"{'lon': 2.08371, 'lat': 48.9147}",0782110V3984092840002178551489147208371,['enseignement secondaire'],"<span class=""tag-idf"">enseignement secondaire</span>"
8,0755219R,,centre de formation d'apprentis,CFA Omnisports (site Paris),,privé,,,,CFA Omnisports Ile-de-France à Saint-Germain-en-Laye (78),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6923,,30 avenue du Parc des Princes,75016,Paris,75116,,01 53 84 78 00,16,Paris,Paris,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2766,"{'lon': 2.25352, 'lat': 48.8399}",0755219R75116488399225352,['enseignement secondaire'],"<span class=""tag-idf"">enseignement secondaire</span>"
9,0941925G,32187778900289,centre de formation d'apprentis,CFA propreté INHNI Ile-de-France (annexe),,public,Ministère chargé de l'Éducation nationale,,,CFA propreté INHNI Ile-de-France à Villejuif (94),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14508,,40 avenue Marcel Paul,92230,Gennevilliers,92036,,01 81 92 11 03,,Hauts-de-Seine,Versailles,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16837,"{'lon': 2.3043723, 'lat': 48.938343}",0941925G32187778900289920364893834323043723,['enseignement secondaire'],"<span class=""tag-idf"">enseignement secondaire</span>"
