year,category,winner,song
1997,Rap Artist,Puff Daddy,
1997,Country Artist,LeAnn Rimes,
1997,Artist of the Year,LeAnn Rimes,
1997,Country Albums Artist,LeAnn Rimes,
1997,Album of the Year,Spice Girls “Spice”,Spice
1997,Rap Single,Puff Daddy “I’ll Be Missing You” (Puff Daddy & Faith Evans featuring 112),I’ll Be Missing You
1997,Rock Artist,Metallica,
1997,Single of the Year,Elton John “Candle in the Wind 1997”,Candle in the Wind 1997
1997,Songwriter of the Year,Diane Warren,
1997,Female R&B Artist,Toni Braxton,
1997,Artist Achievement Award,Garth Brooks,
1997,Contemporary Jazz Artist,Kenny G,
1997,Adult Contemporary Song,Toni Braxton “Un-break My Heart”,Un-break My Heart
1997,Rock Track,Tonic “If You Could Only See”,If You Could Only See
1997,Adult Contemporary Artist,Toni Braxton,
1997,Rap Single,112 “I’ll Be Missing You” (Puff Daddy & Faith Evans featuring 112),I’ll Be Missing You
1997,Rap Single,Faith Evans “I’ll Be Missing You” (Puff Daddy & Faith Evans featuring 112),I’ll Be Missing You
1997,New Artist,Spice Girls,
1997,Modern Rock Artist,Sublime,
1997,"Special Billboard Award (Honoring ""Candle In the Wind 1997"" as the all-time best selling single)",Elton John “Candle in the Wind 1997”,Candle in the Wind 1997
1997,Singles Artist,Elton John,
1997,R&B Album,The Notorious B.I.G. “Life After Death”,Life After Death
1997,Modern Rock Track,Third Eye Blind “Semi-Charmed Life”,Semi-Charmed Life
1997,Singles Sales Artist,Elton John,
1997,R&B Artist,Dru Hill,
1997,R&B Single,Dru Hill “In My Bed”,In My Bed
1997,"Special Billboard Award (Honoring ""Candle In the Wind 1997"" as the all-time best selling single)",Bernie Taupin “Candle in the Wind 1997”,Candle in the Wind 1997
1997,Century Award,Chet Atkins,
1997,R&B Singles Artist,Dru Hill,
1998,Century Award,James Taylor,
1998,Album of the Year,Celine Dion “Titanic”,Titanic
1998,Group Album of the Year,Backstreet Boys “Backstreet Boys”,Backstreet Boys
1998,R&B Singles Artist of the Year,Next,
1998,"Special Billboard Hot 100 Award for ""How Do I Live,"" setting records for the most weeks a single has ever spent in the Hot 100 (69), Top 40 (61) and Top 10 (32)",LeAnn Rimes,
1998,Female Artist of the Year,Shania Twain,
1998,R&B Singles Airplay Track of the Year,Next “Too Close”,Too Close
1998,Hot 100 Singles Artist of the Year,Usher,
1998,R&B Artist of the Year,Usher,
1998,Hot 100 Singles Duo or Group of the Year,Next,
1998,Rock Track of the Year,Kenny Wayne Shepherd Band “Blue on Black”,Blue on Black
1998,R&B Albums Artist of the Year,Jay-Z,
1998,Artist of the Year,Usher,
1998,Country Albums Artist of the Year,Garth Brooks,
1998,Country Singles Artist of the Year,Garth Brooks,
1998,New R&B Artist of the Year,Next,
1998,R&B Album of the Year,Lauryn Hill “The Miseducation of Lauryn Hill”,The Miseducation of Lauryn Hill
1998,New Artist of the Year,Next,
1998,Blues Album of the Year,Kenny Wayne Shepherd Band “Trouble Is…”,Trouble Is…
1998,Best Selling Country SIngle of the Year,Shania Twain “You’re Still the One”,You’re Still the One
1998,Rap Single of the Year,Lord Tariq and Peter Gunz “Deja Vu [Uptown Baby]”,Deja Vu [Uptown Baby]
1998,Modern Rock Track of the Year,Marcy Playground “Sex and Candy”,Sex and Candy
1998,Special Billboard Hot 100 Award for the most No. 1s ever by a female artist (13),Mariah Carey,
1998,Rap Artist of the Year,Mase,
